text,label
নাটকটির পরিচালক কে সেরা নাট্য নির্মাতার হিসেবে পুরস্কার দেয়া উচিত,1.0
এই রকম মজা করা উচিত নয় যে মজার কারনে সংসার ভেঙ্গে যায় সে রকম মজা করা ঠিক নয়,0.0
ভাল ম্যাসেজঅমি ভাই,1.0
নাটকের কাহীনীটা সত্যিই অসাধারন,1.0
অশ্লিলীতায় ভরপুর এসব নাটক করে সমাজ ধ্বংস হচ্ছে,0.0
মাথা পুরাই নষ্টমামা,0.0
অনেক সুন্দর হয়েছে নাটক টা,1.0
ভালো লাগলো সাথে গান টাও,1.0
অসাধারণ হয়েছে,1.0
অসাধারণ চোখের পানি দরে রাখতে পারলাম না,1.0
অপূর্ব সব সময় বস,1.0
মেয়ে মানেই টাকার লোভী,0.0
আমার দেখা সেরা নাটকের একটি,1.0
নামাজ পরেন     এই  কথা টা  খুব ভালো লাগলো,1.0
বালের ফালতু নাটকযারা বৌ রেখে পরকিয়া করে তারা পুরুষ না কাপুরুষ,0.0
দেখার ও শেখার মতো একটা নাটক,1.0
খুব মজা লাগল অনেক অনেক ভাল হইসে সবার অভিনয়  গল্প টাও দারুন ছিল,1.0
এমন নাটক ভালো লাগে কি বালের বেগম জান সিনামা কে আপনারা পশ্রয় দেন,1.0
এক কথায় অসাধারণ,1.0
অভিনেত্রীদের বেশি প্লাস্টার করা হয়েছে একটু বাংগালীআনা থাকা উচিত,0.0
নাটকটি নাটকের মান নষ্ট করেছে  আমি বাংলা নাটকে ভীষন ফ্যান৷  এই নাটকটি একদম কিছুই হয়নি৷,0.0
পার্কে এক আপু দাঁড়িয়ে দাড়িয়ে কিস খাইতেছিলোবললাম বসে খানবসে খাওয়া সুন্নাত অমনি আমাকে বেয়াদব বইলা গালি দিলবয়ফ্রেন্ড তেড়ে মারতে এল,0.0
অসাধারণ একটি নাটক নাটকটির জন্য কে কে অপেক্ষায় ছিলেন🙋,1.0
২০১৯ সালের সেরা নাটক বস,1.0
ভাই নামাজের দাওয়ার দিয়ে যে ট্রেন্ড চালু করতে চাচ্ছেন খুবই ভাল লাগল,1.0
দারুন ছিল নাটকটা,1.0
অনেক সুন্দর গল্প অসাধারণ অভিনয়  করছে সবাই,1.0
কাবিলা যে অভিনয়ের পাশাপাশি এত সুন্দর নাটক বানাতে পারেএই নাটক টা না দেখলে হয়তো বুঝতাম নাধন্যবাদ জানায় পুরো টিমকে যারা এতো পরিশ্রম করে নাটকটা বানিয়েছে,1.0
সস্তা জনপ্রিয়তার জন্যে এতো কান্না করার কি আছে,0.0
অসাধারণ লাগছে ফিলিংটাই অন্য রকম লাগতেছে দেখার পরথেকে,1.0
অসাধারণ একটা নাটক শেষ টুকু দেখে চোখের পানি ধরে রাখতে পারিনিঈদের সেরা নাটক আমার মনে হয়,1.0
নাটক টাএকেবারে বুকের ভেতর গিয়ে লাগে আমার   আমার লাইফ এ দেখা সেরা নাটক নাহনাটক না এ কারো কারো জীবনের ই প্রতিচ্ছবি,1.0
আজ তো পুরো দুনিয়া টায় এই রকম অশৃল আর বিবেকহীন,0.0
পরিচালক এর বৌর ভোদার পানি দিয়া নাটক বানাইছে,0.0
আমাদের দেশ বাংলাদেশ সব কিছুতেই সেরা,1.0
অস্ট্রেলিয়ার গরুর মত লাগছে ফারিয়াকে,0.0
মোশাররফ করিম এর চুলের ডিজাইন ভালো ছিলো না,0.0
সুন্দর ভাই৷ এভাবেই নামাজের দাওয়াত টা যেন সবসময় দেয়া হয়,1.0
আমার দেখা সবচেয়ে প্রিয় নাটক ধন্যবাদএত সুন্দর একটি নাটক উপহার দেওয়ার জন্য,1.0
অসাধারন একটি নাটক,1.0
বাজে নাটক এগুলো দেখে ছেলেরা নষট হয়,0.0
সেরা অভিনেতা নিসো ভাই  হবে,1.0
ভাল লাগলো না,0.0
এইসব নাটকে শিক্ষণীয় কিছু নেই ডিজিটাল যুগের যতসব বিয়াদোবির আড্ডা কারখানা,0.0
নাটক অসাধারন কিন্ত জীবন তো একটাই একটু কম বললেই ভালো হত,1.0
বিশ্রী নাটকনিশু অনেক বেয়াদব হয়ে গেছে,0.0
নিশো ভাইয়ের নাটক মানেই অন্যরকম ভালো লাগলো৷ হার্ট টাচিং ও ছিলো আর নামাজের বিষয়টাও ভালো ছিলো সবচাইতে আমাদের সবারই উচিত ৫ ওয়াক্ত নামাজ পড়া,1.0
বেষ্ট বেষ্ট বেষ্ট নাটক এই ঈদের,1.0
সবার ডিসলাইক দেওয়া উচিৎ ফেমাস হওয়ার জন্য উঠতি তারকাদের এত নোংরা সংলাপ ইউজ করতে দেখা যায়নিশোর কাছ থেকে এটা আসা করা যায়নাযতটা ফালতু হতে পারে নাটকটা,0.0
এতো বড় মাপের অভিনেতা অভিনেত্রীর  কাছ থেকে এরোকম বাজে এবং অশ্রীল নাটক আশা  করিনি,0.0
খুশি নাইচ,1.0
অনেক ভাল লাগলো,1.0
এই ঈদে মোশাররফের একটা নাকটও ভালো হয় নাই  মোশাররফের দিন ফুরাই যাচ্ছে মনে হয়,0.0
অস্তির নাটক এতো  ভালো কেন,1.0
শামিম মাল টা ভালো,1.0
কতো সুন্দর একটি নাটক নামাজ নিএ কথাটা সুনে ভাল লাগলো,1.0
খুব সুন্দর একটা নাটক অনেক ভালো লাগলো  ধন্যবাদ,1.0
আরে আমাদের অপুর্ব নাকি হিরো আলম,0.0
এই নাটকটি অামার জীবনের সাথে জড়িয়ে অাছেসত্যি কিছু কিছু স্মৃতি থেকে যায় যা  কখনো ভুলা যায় নাএই নাটকটি অামার ভীষণ ভালো লেগেছে সবাই ভালো থাকবেন,1.0
আসাধারন,1.0
অনেক মজার নাটক,0.0
আমার দেখা সবচে ফালতু নাটক,0.0
ভাই সবই বুঝলামকিন্তু একটা জিনিস মাথায় আসতেছে না ভালোই যদি বাসতেন তাহলে বিয়ে করতে রাজি হননি কেনতা ও ফ্যামিলি এত প্রেশার দেওয়ার পর,1.0
৩৩০৫ এ তিশার ড্রেস আপটা অদ্ভুত ছিল,0.0
অসভ্য নাটকের ভাষা ,0.0
বালের নাটক,0.0
জীবনের শেষ মুহূর্তে তুমি এখন আমাকে ঘৃণা করো তাহলে কি আসলেই তোমার মিথ্যা সম্পর্কের মরিচিকা ফেলে রাখছো,0.0
জিয়াউল হক পলাশ ভাই কাবিলা তোমার নাটক গুলা সেরা ভাই,1.0
পরিচালক ভাই আপনাকে বলছি এমন ফালতু নাটক করে সমাজের ছেলে মেয়েদের খারাপ করবেন না,0.0
অসম্ভব সুন্দর একটা নাটক অনেক ভালো লাগল,1.0
মেয়েকে জিঙ্গেস করছে তুই ভাল থাকবিকিন্তু তিন লাখ টাকার সেলারির ছেলে পেয়ে তখন এই কথাটা একবার জিঙ্গস করলোনা তুই ভাল থাকবিহাইরে বাবা,1.0
এক্য ভয়ফেন  গাড়ি  দোবো জারা ভুদায় তারা দেখবে,0.0
জেরিনের অভিনয় আমার কাছে খুব ভাল লাগল,1.0
নামাজ পরতে দেখে অনেক বেশি ভালো লাগেছেধন্যবাদ সবাইকে যারা এই নাটকের অভিনয় করেছেন ,1.0
নাটক দেখার পাশাপাশি কমেন্ট পরতে ভালো লাগে,1.0
এক ঘণ্টার এই নাটকের পুরো জীবনকে তুলে ধরা হয়েছে সত্যিই অসাধারণ একটা নাটক আমাদের সবার জীবনটা হয়তো ঠিক এরকম,1.0
অনেক অনেক শুভ কামনা পলাশ ভাই,1.0
আবাল চোদা নাটক,0.0
ভাই কাচ্চির এত অভাব কেউ কাচ্চি খুঁজে পেল না নেক্সট এ সেইরাম গু খোর কইরেন গুয়ের অভাব হইতো না,0.0
অসাধারণ ছিল ,1.0
এক ককথায় অসাধারণ,1.0
ঘুরেফিরে ছেলে বন্ধুর সাথেই কেন একসাথে থাকতে হবে  অবাস্তব গল্প,0.0
এগুলা কি নাটক এতো হাশি আশে কেন,0.0
খুব ভাল লাগলো,1.0
মিজানুর রহমান আরিয়ান ভাইয়া তুমি পারো আমাদের মন জয় করতে থ্যাংকস এ লট মিজান ভাইয়া তোমাকেতোমার কাছ থেকে আমরা এরকম নাটক রসা করে পাব যেআফরান নিশো ভাইয়া মেহজাবিন আপু তোমাদেরকে অসংখ্য ধন্যবাদ এত সুন্দর অভিনয় করার জন্য,1.0
আমার দেখা সবচাইতে বাজে একটা নাটক,0.0
এভাবে ধুমপান দৃশ্য দেখানো ঠিক নাতাছাড়া অনেক ক্ষেত্রে লিখা হয় না ধূমপান বা মদ্যপান স্বাস্থ্যের জন্য ক্ষতিকর বাংলা নাটক থেকে নেশা দৃশ্য বাদ দেয়া প্রয়োজন,0.0
সাবিলা নুর ওভার অ্যাক্টিং করে বাজে অভিনয়,0.0
বৃন্দাবন দাদাকে অনেক ধন্যবাদ এত সুন্দর একটি নাটক আমাদেরকে উপহার দেওয়ার জন্য,1.0
রাইট সপ্ন কখনো বাস্তব হয় না সপ্ন তো রাতের আদারে দুই চোখ বন্দ করে দেখে তা কি আর পুরন হবেসত্যিকার ভালবাসা কয়টা বা পুরন্যতা পায়,0.0
বাজে নাটক একটা সময় নষ্ট করা হলো,0.0
অসাধারণ লেগেছে,1.0
সব থেকে ভাল লেগেছে নামাজ কথা,1.0
অসাধারণ,1.0
বেশ ভালোই লাগলো নাটকটি,1.0
চমৎকার নাটক,1.0
সুন্দর নাটক অনেক ভালো লাগলো,1.0
জিবন টা বেদনা,0.0
ভাইজান অসাধারণ তুমিঅসাধারণ,1.0
লাভ ইউ নিশু ভাই ,1.0
অসাধারন নাটক,1.0
পরিচালকের আর কোন নাটকের কাজ নাই নাকিপর্ব নিতে নিতে তো৩০০ এর মধ্যে নিয়া গেচেন না কোন শক্তি মানের মত শুরু করচেন,0.0
 অসাধারণ নাটক॥,1.0
মন জুড়ানো খুব সুন্দর নাটক,1.0
অস্থির অভিনয় অতুলনীয় অভাবনীয়,1.0
কি ফালতু  গল্প,0.0
অসাধারণ ভালবাসা,1.0
কত পুস্প দেখিলাম ফুটিলোফুটিয়া ফুটিয়া আবারও নিভিলোকিসের এতো দম্ভ তোমারজীবনের আলো নিবে তো যাবে যে কোন সময়অসাধারণ নাটক উপহার দেওয়ার জন্য নাটকের পরিচালক সহ সকলকে জানাই আন্তরিক অভিনন্দন ধন্যবাদ এবং গভীর ভালোবাসা বাপের এক পোলা,1.0
এত ফালতু নাটক দেখে মেজাজটাই খারাপ হয়ে গেল,0.0
এমন একটি নাটক কেমনে করলেন তাসনুভা তিশা এটা কোনো কাহিনী হলো   বাজে একটা চরিত্রে অভিনয় করেছেন তাসনুভা তিশা আশা করছি পরবর্তীতে ভালো কাজ করবেন,0.0
ভাড়ামি কোন মজা পেলাম না আর ভাবির বাজারের কথা শুনেই বুঝা গেলো নাটকের নির্মাতা কত অভিজ্ঞ ছাগল মার্কা,0.0
ভাই কি নাটক বানান যে মানুষ আগেই বুঝতে পারে যে লাস্টে কি হতে যাচ্ছেএক্টু ক্রিয়েটিভ কিছু করেনফিনিশিং টা অন্য ভাবে করা যাইতো ভাইয়া,0.0
এই ঈদে দেখা সবচেয়ে ফালতু ভাঁড়ামো নাটক,0.0
ভালো লাগলো ভাই আপনার নাটক গুলো অনেক ভালো লাগে,1.0
অনেক  সুন্দর  নাটক,1.0
খুব ভালো লাগছে নাটকটা,1.0
অপূর্ব ভাই মানেই নাটক হিট,1.0
অস্বাধারন একটা টেলিফিল্ম লাভ ইউ অপুর্ব,1.0
আরে ভাই সাইন্ড ঠিক নাই হতে পারে তাই বলে  এতো খারাপ ভাসাই কথা বলার তো কোনো মানেই হয় না,0.0
শুধু বলব অসাধারন,1.0
সব ভাল নাটক কি এনটিভি ই বানায়লাভ ইউ এনটিভি,1.0
অসাধারণ নাটক,1.0
বোকার দলেরামেজাজটাই খারাপ কইরা দিলফালতু,0.0
সত্যি বাংলাদেশী নাটক সত্যিই অতুলনীয় দারুন লাগলো ,1.0
আসুন সবাইপাঁচ ওয়াক্ত নামাজ পরিএবং খারাপ কাজ থেকে বিরত থাকি,0.0
ভালোবাসা এমনে হয় অসাধারণ নাটক,1.0
এটাও একটা নাটকধুরসময়টাই নষ্ট,0.0
বালের নাটক,0.0
মৌসুমির এই দরনের কিছু করা টিক হয়নি,0.0
নিশো ভাইয়ের কথা শুনতেই ভালো লাগে,1.0
কি প্রচন্ড শক্তিশালী গল্প অসাধারন উপস্থাপনা মিজানুর রহমান আরিয়ান বাংলা নাটককে অনেক উপরে নিয়ে গেছে আরো ভালো কিছু চাই আপনার কাছে অপেক্ষায় থাকবো,1.0
ভাই অসাধারণ একটা নাটক,1.0
ওয়াউ এক কথায় অসাধারন,1.0
অপুর্ব  ভাই আপনার  সাথে  দেখা  করব  আমার নাম নাঈম,1.0
পরিচালক কে পাছা দিয়ে গরম লুহা দিতে হবে এইটা কুনো কাহিনী হয়েছেসমাজ ড়ংশ করে দিচ্ছেপারলে ভালো কিছু দেন,0.0
সব ভালো যার শেষ ভালো তারভালো হলো মিল টা দিইছেআর কতধন্যবাদ,1.0
মুসলমানদের কাছে গরু মাংসের উপরে কোনও খাবার নাই বছরের ৩৬৫ দিন এই এক খাবার দিলেও আমি খুশি মনে খাইতাম,1.0
অনেক ভালো লাগলো,1.0
এটা কোনো নাটক হলো না ঢাকাইয়া না অন্য কিছু লোক ঠকানো নাটক হচ্ছে আজকাল,0.0
অপূর্ব জড়িয়ে ধরলো মেহজাবিনকে আর মোবাইলে মিথিলার ছবি দেখে মিথিলাকে জড়িয়ে ধরার অনুভূতি অনুভব করলো দারুন লাগলো বিষয় টা  আর মিনারের গান গুলা অসাধারন ছিলতবে ২ পর্বের থেকে ১ম পর্ব ভালো লেগেছিলো আমার কাছে,1.0
মুরগী চোর এর মেয়ে ও আছে,0.0
দারুণ ছিল,1.0
বাংলাদেশেৱ নটক গুলা অনেক সুন্দৱ,1.0
ভালা লাগেনি,0.0
যতো সব ফালতু নাটক,0.0
সত্যি মন ছুয়ে দিয়েছে সত্যি এদেশের নাটকগুলো অন্নেক সুন্দর,1.0
থার্ডক্লাশ প্রভাকে দেখলেনাটক দেখার ইচ্ছাই চলে যায়,0.0
আজকে নিশো ভাইয়ের হাত ধরে এই তানজিন তিশা তারপর মেহজাবিন এর মার্কেট আছে তাই তানজিন তিশা এবং মেহজাবিন নিশো ভাইকে সম্মান করা দরকার কখনো তার কৃতিত্ব তারা  ভুলে  না,1.0
প্রথমে বলে নেই নাটকটা সুন্দর ছিলোআমি তিশাকে বলছি সম্প্রতি আমি লক্ষ্য করছি আপনার প্রতিটি নাটকে একটা করে ডায়লকের ভাষা রং থাকে যেমন এই নটকে আপনি স্বামীকে থাপ্পর দিয়ে দাঁত ফেলে দিতে চেয়েছেন মর্ডান হওয়া ভাল তবে এতো মর্ডান ভালো না আমরা প্রথমে মুসলমান তারপর বাজ্ঞালি কথাটা আপনার মাথায় আনা উচিৎ ছিলো এটাতো স্টারজলসার মত হয়ে গেল আপনার ভক্ত,1.0
পলাশের কাজ এতো ভালো হবে কল্পনাও করি নাই তৌহিদের ফ্রেন্ড  সাদ্দাম,1.0
বাজে মেহজাবিনের অভিনয়,0.0
আসলেই সত্যি বাংলা নাটকের প্রেমে পড়ে গেছিঅসাধারন লাগলো নাটকটি,1.0
সব চাইতে বেশি ভালো লাগছে নামাজের জন্য দাওয়াত দেয়াটা আসুন আমরা সবাই বেস্তার মাঝেও একটু সময় বের করে সময় মতে নামাজ আদায় করি,1.0
আফরান নিশো ভাই আপনি এত সুন্দর নাটক করেন কেমনে যখনই আপনার নাটক গুলা দেখি খুব ভালো লাগে ভাই মন থেকে বলছি খুব সুন্দর লাগে,1.0
অসাধারণ,1.0
অসাধারণ,1.0
অনেক সুন্দর নাটক সাবিল নূর তোমার অভিনয় অনেক উন্নতি হয়েছে,1.0
আমার জীবনের সেস্ট্রো নাটক খুব ভাল লাগলো  সাধারণত আমি কমেন্ট করিনা না করে থাকতে পারলামনা  থ্যাঙ্কস,1.0
এরকম বিশ্রী এবং অশ্লীল নাটক বন্ধ করুন এখানে যাতে বাবা হিসেবে দেখানো হয়েছে আপনাকে বলতে চাই আঙ্কেল আপনি তো আর বেশিদিন বেঁচে থাকবেন না এরকম নাটকগুলি করতেছেন শুধু শুধু গুনা কামাচ্ছেন  দয়া করে গুলি বন্ধ করেন,0.0
ভালো একটা ম্যাসেজ দিছে পরিচালক নামাজ আশা করি পরিচালক এই কাজটা নিয়মিত করে,1.0
মেয়েরা তার স্বামীর সন্দেহ করে বেশি সে থাকে অফিসে বলে আছে মেয়েদের সাথে  মেয়েরা অনেক খারাপ মানুষ,0.0
বালের নাটক,0.0
শাহনাজ খুশির অভিনয় সত্যি অসাধারণ চখে পানি চলে আসে,1.0
বালের এর বিজ্ঞাপনের জন্য আর কোন কিছু শান্তি মত দেখা যায় না,0.0
ভাই  তর সব কয়টা নাটক ভালো লাগে,1.0
এটাই বন্ধুর প্রতি বন্ধুর ভালোবাসা খুব ভালো একটা নাটক খুব ভাললাগছে,1.0
ও ভাই কমেন্ট পড়ে লাভ নাইনাটক ভালো ছিল,1.0
নাটক আস্তে আস্তে খুব খারাফ হইতেছে সব দোস পরিচালকের,0.0
জীনবত একটাই একটাই মন একটাই ভালোবাসা,1.0
সারাদিনের কর্ম দিবস শেষে বাসায় এসে নাটকের উপদেশ শুনে মনে প্রশান্তি পেলো,1.0
মিজানুর রহমান আরিয়ান  এই রকম একটা গল্প উপহার দেওয়ার জন্য অনেক অনেক ধন্যবাদ ,1.0
মেয়েদের বাজে ছেলে অনেক পছন্দ,0.0
অসাধারন,1.0
অপূর্বর অভিনয় অপূর্ব হয়েছে আর অসম্ভব সুন্দর চিত্রনাট্য এই নাটকটা দেখলে মনে হয় আমরা সবাই জীবন নামক রঙ্গমঞ্চের অভিনেতা অভিনেত্রী,1.0
অসাধারন বাংলার নাটক জগত,1.0
কাচ্চিখোর নাটকে কাচ্চি খাওয়ার কোন দৃশ্য নাই হাউয়া,0.0
বাল বানাইছো বাল গালি আইতাছে,0.0
গার্লফ্রেন্ডকে ল্যাং মেরে আটকানোটা পছন্দ হইছে,0.0
এই রকম ফালতু  এমন একটা নাটক আশা করিনি অভদ্র নোংরা পরকিয়া নাটক,0.0
আমার ফেভারিট হিরো আফরান নিশোলাভিউ বস,1.0
হুমায়রা হিমু কে দেখলেই মেজাজ গরম হয়ে যায় এইডারে কি দেখে যে নাটকে নেয় বুঝিনা,0.0
এরা জাতির বোঝা,0.0
তোমার চলা কথা বলা কিংবা ঠোঁটের হাসি এসব কিছুর চাইতে তোমার মন টা ভাল বেশিসব মিলিয়ে তুমি আমার দারুণ ভাগ্য রাশিএকশো রকম গল্প ভুলে তোমার কাছে আসি,1.0
সবাই পাগল ছাগল,0.0
বাজে নাটক,0.0
এর আগে মোশারফ করিমের একটা নাটক দেখছিলামএখন এইটা দেখে মজা পাইনি,0.0
ওয়াও অনেক সুন্দর একটা নাটক,1.0
বাজে নাটক  বালের কাহিনি দিয়া নাটক বানাও,0.0
ফালতু একটা সিরিয়াল নাটক,0.0
আমাদের সমাজে এখন এরকম অহরহ ঘটে,0.0
বালো লাগছে নাটক টা,1.0
অপ্সমাইন্ডব্লোয়িংএই টেলিফিল্ম এতদিন দেখি নাইএকটু বেশি লম্বা বলে আজকাল আজকাল করছিলামঅবশেষে দেখা হলএককথায় টেলিফিল্মটার মেকিং সুপারভআর লোকেশনতো ছিল বাধিয়ে রাখার মতআমাদের দেশে আরও ভালো কাজ হউকসেটাই চাইবিশেষ ধন্যবাদ প্রাপ্য মিজানুর রহমান আরিয়ান ভাইধন্যবাদ ব্যাচ  ফুল টিমঅল দ্যা বেষ্ট,1.0
অনেক সুন্দর গল্পখুব ভাল লাগলোচখে জল এনে দিল,1.0
অভাব অশান্তির এই যোগে এমন একটি নাটক সত্যি ই অনেক ভালো লাগারঘরে অভাববাহিরে অভাব এত অভাবের মাঝে থেকে অভাবের নাটক দেখার সত্যি ই ইচ্ছে করে নাআর তাই এমন চিল করা একটা নাটক মন টা ভালো করে দিলো,1.0
চমৎকার একটা নাটক একটা মুসলিম সমাজে মেয়েদের চালচলন সব সময় এমন হলে সত্যিই সমাজ অনেক সুন্দর আর মেয়েরা অনেক নিরাপদ হতো যারা এই নাটকেও তাজিন তিশার বুকের ওড়না নিয়ে টানাটানি করছেন তাদের বলছি চোখ সবসময় ওদিকেই কেন যায় আপনাদের লোভাতুর চোখ থেকে একটা হিজাব পড়া মেয়েও কি রেহাই পাবে না এ কেমন আচরণনাটকটাতে ধর্মের ব্যবহার বেশিই করা হয়ে গেছে তা হোক তবুও ভালো কিছু দেয়ার চেষ্টা করেছে এটাই বা কম কী শুধু কোথাও কোথাও একটিং টা একটু বেশি বেশি হয়ে গেছে ব্যাপার নাহ ধন্যবাদ,1.0
অসাধারাণ,1.0
অসাধারণ এটাই হচ্ছে সত্যিকারের বন্ধুত্ব সত্যিকারের ভালোবাসা,1.0
সবগুলো কি চিকন ছিল আগে,0.0
আরফান নিশোকে আমি ভালো মানুষ মনে করতাম কিন্তু সে একজন ইলুমিনাতির সদস্য তাই তাকে বয়কট করলাম সালা কাফির,0.0
খুব সুন্দর অনেক ভালো লাগলো ধন্যবাদ পরিচালক বৃন্দাবন দাস,1.0
ফালতু  যতোসব কাহিনি ঘোরার ডিম,0.0
অসাধারন আমার জানের প্রানের বান্ধবী ঘাসফড়িং আজ আমাকে বলেছিল নাটকটি দেখিস সত্যি বান্ধবী অনেক সুন্দর একটা নাটক আর তার থেকেও চির সত্যি আমি সারাজীবন তোর পাশে থাকব আমার ঘাসফড়িং,1.0
এতো ভাল লাগে কেরে যতবার দেখি ততোবারি দেখতে মন চায়,1.0
আসলে আমি কখনো কমেন্ট করি না তো লিখতে বাধ্য হলাম এক কথায় অসাধারণ বর্তমান পরিস্থিতির সাথে অনেক মিল রয়েছে টিমের সকলকে অসংখ্য ধন্যবাদ বিশেষ করে লেখক পরিচালক এবং দুই অভিনেতা অভিনেত্রী থ্যাঙ্ক ইউ,1.0
ফালতুঅভিনয়,0.0
ফিনিশিং সুন্দর হয়নি আরো নাটকিয় হওয়ার দরকার ছিলো,0.0
টেডির সাতে এই মুহুর্তে সাপোর্ট দরকার,0.0
নাটক টা এতো সুন্দর হয়ছে জা আমি বলে বুঝাতে পারভোভোনা  ভাইয়া  এগিয়ে যান,1.0
অসাধারন হয়েছে নাটক টা,1.0
অনেক  সুনদর নাটক,1.0
সত্যি বেশ আনন্দদায়ক নাটক অভিনয় ভালো এবং কৌতুকপূর্ন ও মজার বিষয় ,1.0
বাজে মাথা মুন্ডু নাই সময় নষ্ট করা,0.0
ভাল লাগল,1.0
অসাধারণ নাটক,1.0
শাহাব উদ্দিন শান্ত কুমিল্লা প্রবাসী এক কথায় অসাধারণ নাটক,1.0
 কিসের  শাকিব  কিসের সালমান  বাংলা নাটকে হলো  সেরা,1.0
অসাধারণ নাটক খুবই ভালো লাগলো,1.0
বালের নাটক,0.0
ভাল লাগছে  আমার প্রিয় নায়ক    আরফান নিশু ভাই  তুমি যেমন সুন্দর তেমন তোমার নাটক ,1.0
খানকি কখন হয়েছে,0.0
অসভ্যতা কাকে বলে দেখলামবাংলা নাটক দেখিনাআজ কেন না জানি ভুলে দেখলামনুংরাঅসভ্যফালতু সংলাপহারামজাদার গুষ্ঠি ইংলিশ মুভি এর চেয়ে ভালো+ ভাষা,0.0
সত্যি বলতে ৯০ ছেলের জীবনেই এমন ঘটে নাটক এর মাদ্ধমে তুলে ধরার জন্য ধন্যবাদ  আমার ব্যক্তিগত মতামত,1.0
অসাধারণ নাটক,1.0
আফরান নিশো নাটক মানে অসাধারণ এবং অনেক কিছু শেখার আছে,1.0
এতো ভালো লাগলো বলে শেষ করা যাবেনা নিশো ভাই মানেই ভিন্ন কিছু,1.0
নিশো ভাই সেরা সেরা,1.0
